Year,Asian elephant,African elephant
1895,,20
1903,,328
1913,,334
1923,,198
1929,,150
1933,,199
1943,,180
1948,,550
1953,,136
1960,,1150
1963,,80
1965,,25
1968,,1800
1971,,650
1975,,30
1976,,500
1979,,1300000
1980,1750,15627
1981,,60
1983,,70
1984,,15
1985,,18975
1987,,4665
1989,,20862
1990,,60
1991,,5565
1992,,5790
1993,,6760
1995,280,286233
1997,165,25877
1998,,301733
2000,100,45
2002,230,402047
2003,,44
2005,,40
2006,189,
2007,2600,472269
2009,197,44
2010,1223,40
2012,1724,
2013,,426293
2014,232,
2015,101,415428
2016,,63
2017,300,59
2018,,72
2021,,76
