Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total
AE,4,3,1,8,9,8,3,2,9,10,1,3,61
AO,0,0,0,2,13,29,5,1,11,2,2,0,65
AT,0,1,1,0,0,1,6,3,1,1,0,0,14
AU,81,60,32,45,29,28,23,4,14,10,11,5,342
BD,0,0,0,0,0,1,0,0,0,0,0,0,1
BE,7,5,29,51,61,27,4,1,2,16,34,38,275
BF,0,0,1,0,0,0,0,0,1,0,0,1,3
BI,1,0,0,0,0,1,0,0,0,1,0,2,5
BJ,0,0,0,0,0,0,2,1,7,6,5,3,24
BW,14,18,13,15,2,25,12,16,10,19,7,2,153
CA,6,0,0,1,5,4,3,0,5,3,0,6,33
CD,0,0,2,0,1,0,1,11,6,2,6,0,29
CF,0,2,2,0,0,0,0,0,1,0,0,0,5
CG,3,0,0,8,0,3,2,3,5,12,10,7,53
CH,6,2,10,6,4,11,3,16,15,4,6,1,84
CI,0,0,0,0,0,4,10,4,2,8,1,14,43
CM,6,11,6,13,13,33,22,27,11,9,6,7,164
CN,52,733,707,834,388,433,272,233,142,101,118,207,4220
CY,0,0,0,0,0,0,1,0,0,0,0,0,1
CZ,1,4,0,0,0,0,3,0,6,4,0,0,18
DE,26,60,35,31,60,71,41,37,26,17,13,6,423
DK,1,0,3,2,1,1,0,3,1,1,0,0,13
EE,0,0,0,0,0,0,0,1,0,0,0,0,1
EG,0,0,0,1,3,8,12,3,5,4,0,0,36
ES,0,1,24,0,0,3,1,0,3,0,1,0,33
IE,0,0,0,2,0,0,0,0,0,0,0,0,2
IL,0,0,0,0,0,0,0,0,0,0,1,0,1
IN,5,12,9,6,2,3,13,11,12,29,24,33,159
IT,3,0,0,0,1,3,1,18,0,4,7,0,37
JO,0,0,0,0,0,0,0,0,0,0,2,0,2
JP,6,3,5,2,0,0,7,10,4,3,4,1,45
KE,30,87,59,67,61,56,133,71,111,95,92,78,940
KH,0,0,0,0,0,7,5,1,2,1,1,2,19
KR,0,0,0,1,0,0,0,0,0,0,0,1
LA,0,0,0,0,0,0,0,1,0,2,3,1,7
LK,0,0,0,0,1,0,1,1,1,3,2,1,10
LV,0,0,0,0,0,1,0,0,0,1,0,0,2
ML,0,0,0,0,0,1,0,0,0,0,0,0,1
MM,0,0,3,2,1,1,3,5,2,1,0,0,18
MO,0,0,1,0,1,2,1,0,0,0,0,0,5
MT,0,0,0,1,0,1,0,0,0,0,0,0,2
MW,0,0,1,8,4,9,6,4,40,35,27,16,150
MX,0,0,0,0,1,0,0,0,0,0,0,0,1
MY,0,0,0,4,3,4,3,7,11,5,0,0,37
MZ,20,0,0,2,2,10,2,7,4,12,5,0,64
NA,14,24,14,25,22,32,19,19,67,51,43,59,389
NG,0,0,4,8,2,6,12,8,8,7,4,1,60
NL,16,16,5,11,7,8,22,17,27,15,11,5,160
NO,0,0,0,0,1,0,0,0,0,0,0,0,1
NP,0,0,0,0,1,2,1,1,0,1,1,0,7
NZ,2,1,0,7,7,3,9,6,
NA,14,24,14,25,22,32,19,19,67,51,43,59,389
NG,0,0,4,8,2,6,12,8,8,7,4,1,60
NL,16,16,5,11,7,8,22,17,27,15,11,5,160
NO,0,0,0,0,1,0,0,0,0,0,0,0,1
NP,0,0,0,0,1,2,1,1,0,1,1,0,7
NZ,2,1,0,7,7,3,9,6,7,7,5,8,62
PA,0,0,0,0,0,0,0,0,1,0,0,0,1
PH,0,2,0,0,0,0,0,0,0,0,0,0,2
PL,2,1,0,0,0,0,0,0,0,0,0,0,3
PT,23,0,5,2,1,6,4,8,1,1,0,0,51
QA,1,0,0,0,0,0,1,1,0,2,0,0,5
RO,0,0,0,0,1,0,2,1,0,0,0,0,4
RW,0,0,0,0,0,0,1,0,0,0,0,0,1
SA,0,0,0,0,0,0,1,0,0,0,0,0,1
SD,41,57,56,88,49,46,4,0,0,0,0,0,341
SE,2,0,0,0,0,0,1,0,2,0,0,0,5
SG,0,0,0,0,0,1,3,3,0,1,1,2,11
SI,1,0,0,0,0,0,0,0,0,0,0,0,1
SN,0,0,0,0,0,0,1,1,3,2,0,4,11
SS,0,0,0,0,0,1,0,0,2,0,1,0,4
TD,0,0,0,2,0,0,0,2,1,0,0,0,5
TG,0,0,0,1,1,4,4,2,3,2,0,1,18
TH,1,2,6,3,7,4,12,18,5,10,6,1,75
TN,0,0,0,0,0,0,0,0,0,1,0,0,1
TR,0,0,0,0,1,0,0,0,1,0,0,1,3
TW,2,2,0,2,2,0,0,3,2,2,1,0,16
TZ,11,27,17,32,91,126,54,54,46,39,19,35,551
UG,5,1,0,11,15,21,23,12,22,72,36,76,294
US,72,113,136,196,185,151,157,185,139,100,131,114,1679
VN,0,6,11,10,5,6,10,12,22,13,5,7,107
ZA,9,24,10,25,27,16,10,25,44,16,8,15,229
ZM,16,11,21,27,23,26,20,57,47,64,111,1,424
ZW,14,29,27,18,23,18,17,29,33,31,20,32,291
Total,2542,3364,3356,3909,3390,3649,3366,3471,3264,3246,3025,2915,15335
